benchmark,instance,verdict,wall_s,timeout_s,m,ell,epsilon,coverage,confidence,cex_x,cex_y,error,timestamp
cifar100_2024,CIFAR100_resnet_medium.onnx+CIFAR100_resnet_medium_prop_idx_7641_sidx_1041_eps_0.0039.vnnlib,TIMEOUT,,100,,,,,,,,shell timeout (run_cell.sh exit 124),2026-05-03T02:49:23.432522+00:00
cifar100_2024,CIFAR100_resnet_medium.onnx+CIFAR100_resnet_medium_prop_idx_2132_sidx_6868_eps_0.0039.vnnlib,TIMEOUT,,100,,,,,,,,shell timeout (run_cell.sh exit 124),2026-05-03T02:52:07.690625+00:00
