benchmark,instance_idx,vnn_rel,m,ell,ell_frac,q,delta_2,verdict,eps_2_upper,detected_unsafe,levels_used,amls_wall_s,one_shot_train_wall_s
lsnc_relu,0,vnnlib/quadrotor2d_state_0.vnnlib,500,500,1.0,5.027344226837158,0.3936210551388153,UNKNOWN,0.00011631153706668358,True,3,0.7863442897796631,29.350708723068237
lsnc_relu,0,vnnlib/quadrotor2d_state_0.vnnlib,500,500,0.999,5.027344226837158,0.3936210551388153,UNKNOWN,0.00011631153706668358,True,3,0.7831723690032959,29.350708723068237
lsnc_relu,0,vnnlib/quadrotor2d_state_0.vnnlib,500,495,0.99,4.415554046630859,1.3812474352614679e-05,UNKNOWN,9.969560098932967e-05,True,3,0.7808182239532471,29.350708723068237
lsnc_relu,0,vnnlib/quadrotor2d_state_0.vnnlib,500,475,0.95,3.4715301990509033,0.0,UNKNOWN,4.9847800494664836e-05,True,3,0.7833287715911865,29.350708723068237
lsnc_relu,0,vnnlib/quadrotor2d_state_0.vnnlib,1000,1000,1.0,5.027344226837158,0.6323045752290363,UNKNOWN,0.00011631153706668358,True,3,0.7841014862060547,29.350708723068237
lsnc_relu,0,vnnlib/quadrotor2d_state_0.vnnlib,1000,999,0.999,4.642005443572998,0.2642410869698131,UNKNOWN,8.307967264937265e-05,True,3,0.7831242084503174,29.350708723068237
lsnc_relu,0,vnnlib/quadrotor2d_state_0.vnnlib,1000,990,0.99,4.097929954528809,9.59995516414125e-09,UNKNOWN,9.969560098932967e-05,True,3,0.7810328006744385,29.350708723068237
lsnc_relu,0,vnnlib/quadrotor2d_state_0.vnnlib,1000,950,0.95,3.4855306148529053,0.0,UNKNOWN,9.969560098932967e-05,True,3,0.781320333480835,29.350708723068237
lsnc_relu,0,vnnlib/quadrotor2d_state_0.vnnlib,2000,2000,1.0,5.027344226837158,0.8648000746025005,UNKNOWN,0.00011631153706668358,True,3,0.782827615737915,29.350708723068237
lsnc_relu,0,vnnlib/quadrotor2d_state_0.vnnlib,2000,1998,0.999,4.642005443572998,0.3233235612384795,UNKNOWN,8.307967264937265e-05,True,3,0.7807483673095703,29.350708723068237
lsnc_relu,0,vnnlib/quadrotor2d_state_0.vnnlib,2000,1980,0.99,4.042272567749023,5.551115123125783e-15,UNKNOWN,0.00016615934529874533,True,3,0.780552864074707,29.350708723068237
lsnc_relu,0,vnnlib/quadrotor2d_state_0.vnnlib,2000,1900,0.95,3.436602830886841,0.0,UNKNOWN,4.9847800494664836e-05,True,3,0.7791402339935303,29.350708723068237
lsnc_relu,0,vnnlib/quadrotor2d_state_0.vnnlib,4000,4000,1.0,5.027344226837158,0.9817209801725105,UNKNOWN,0.00011631153706668358,True,3,0.7799646854400635,29.350708723068237
lsnc_relu,0,vnnlib/quadrotor2d_state_0.vnnlib,4000,3996,0.999,4.719635963439941,0.37116304852326354,UNKNOWN,8.307967264937265e-05,True,3,0.7795493602752686,29.350708723068237
lsnc_relu,0,vnnlib/quadrotor2d_state_0.vnnlib,4000,3960,0.99,4.005625247955322,0.0,UNKNOWN,0.00015137624155010148,True,2,0.4105970859527588,29.350708723068237
lsnc_relu,0,vnnlib/quadrotor2d_state_0.vnnlib,4000,3800,0.95,3.43001389503479,0.0,UNKNOWN,4.9847800494664836e-05,True,3,0.7794685363769531,29.350708723068237
lsnc_relu,0,vnnlib/quadrotor2d_state_0.vnnlib,8000,8000,1.0,5.507650375366211,0.9996658774341463,UNKNOWN,0.00015137624155010148,True,2,0.4104330539703369,29.350708723068237
lsnc_relu,0,vnnlib/quadrotor2d_state_0.vnnlib,8000,7992,0.999,4.878314018249512,0.40745264691855554,UNKNOWN,0.00011631153706668358,True,3,0.780236005783081,29.350708723068237
lsnc_relu,0,vnnlib/quadrotor2d_state_0.vnnlib,8000,7920,0.99,4.036502361297607,0.0,UNKNOWN,0.00016615934529874533,True,3,0.7801709175109863,29.350708723068237
lsnc_relu,0,vnnlib/quadrotor2d_state_0.vnnlib,8000,7600,0.95,3.416918992996216,0.0,UNKNOWN,4.9847800494664836e-05,True,3,0.7827651500701904,29.350708723068237
lsnc_relu,0,vnnlib/quadrotor2d_state_0.vnnlib,16000,16000,1.0,5.507650375366211,0.999999888362111,UNKNOWN,0.00015137624155010148,True,2,0.40977907180786133,29.350708723068237
lsnc_relu,0,vnnlib/quadrotor2d_state_0.vnnlib,16000,15984,0.999,4.890767574310303,0.43403756871372234,UNKNOWN,0.00011631153706668358,True,3,0.7791130542755127,29.350708723068237
lsnc_relu,0,vnnlib/quadrotor2d_state_0.vnnlib,16000,15840,0.99,4.021144866943359,0.0,UNKNOWN,0.00016615934529874533,True,3,0.7793872356414795,29.350708723068237
lsnc_relu,0,vnnlib/quadrotor2d_state_0.vnnlib,16000,15200,0.95,3.4432504177093506,0.0,UNKNOWN,2.8758090171517186e-05,True,4,1.1508948802947998,29.350708723068237
