benchmark,instance,method,hp_name,m,n_train,flow_epochs,scenario_n_samples,verdict,wall_s,vnncomp_timeout_s,coverage_empirical,coverage_n_test,q,epsilon_total,delta_total,flow_loss_curve,ground_truth,ground_truth_source,soundness_flag,error,timestamp
acasxu_2023,ACASXU_run2a_1_1_batch_2000.onnx+prop_1.vnnlib,hashemi_clipping,m=500,500,,,,UNSAT,1.0,116,1.0000,1000,,0.0010,,,unsat,"alpha_beta_crown,neuralsat,pyrat,nnenum",ok,,2026-04-28T12:01:01+00:00
acasxu_2023,ACASXU_run2a_1_2_batch_2000.onnx+prop_1.vnnlib,hashemi_clipping,m=500,500,,,,UNSAT,1.0,116,0.9990,1000,,0.0010,,,unsat,"alpha_beta_crown,neuralsat,pyrat,nnenum",ok,,2026-04-28T12:01:02+00:00
acasxu_2023,ACASXU_run2a_1_3_batch_2000.onnx+prop_1.vnnlib,hashemi_clipping,m=500,500,,,,UNSAT,0.9,116,1.0000,1000,,0.0010,,,unsat,"alpha_beta_crown,neuralsat,pyrat,nnenum",ok,,2026-04-28T12:01:03+00:00
acasxu_2023,ACASXU_run2a_1_1_batch_2000.onnx+prop_1.vnnlib,hashemi_clipping,m=1000,1000,,,,UNSAT,2.2,116,0.9970,1000,,0.0010,,,unsat,"alpha_beta_crown,neuralsat,pyrat,nnenum",ok,,2026-04-28T12:01:05+00:00
acasxu_2023,ACASXU_run2a_1_2_batch_2000.onnx+prop_1.vnnlib,hashemi_clipping,m=1000,1000,,,,UNSAT,2.2,116,1.0000,1000,,0.0010,,,unsat,"alpha_beta_crown,neuralsat,pyrat,nnenum",ok,,2026-04-28T12:01:08+00:00
acasxu_2023,ACASXU_run2a_1_3_batch_2000.onnx+prop_1.vnnlib,hashemi_clipping,m=1000,1000,,,,UNSAT,2.1,116,1.0000,1000,,0.0010,,,unsat,"alpha_beta_crown,neuralsat,pyrat,nnenum",ok,,2026-04-28T12:01:10+00:00
acasxu_2023,ACASXU_run2a_1_1_batch_2000.onnx+prop_1.vnnlib,hashemi_clipping,m=2000,2000,,,,UNSAT,6.3,116,1.0000,1000,,0.0010,,,unsat,"alpha_beta_crown,neuralsat,pyrat,nnenum",ok,,2026-04-28T12:01:16+00:00
acasxu_2023,ACASXU_run2a_1_2_batch_2000.onnx+prop_1.vnnlib,hashemi_clipping,m=2000,2000,,,,UNSAT,6.3,116,1.0000,1000,,0.0010,,,unsat,"alpha_beta_crown,neuralsat,pyrat,nnenum",ok,,2026-04-28T12:01:22+00:00
acasxu_2023,ACASXU_run2a_1_3_batch_2000.onnx+prop_1.vnnlib,hashemi_clipping,m=2000,2000,,,,UNSAT,6.8,116,0.9990,1000,,0.0010,,,unsat,"alpha_beta_crown,neuralsat,pyrat,nnenum",ok,,2026-04-28T12:01:29+00:00
acasxu_2023,ACASXU_run2a_1_1_batch_2000.onnx+prop_1.vnnlib,hashemi_clipping,m=4000,4000,,,,UNSAT,19.8,116,0.9990,1000,,0.0010,,,unsat,"alpha_beta_crown,neuralsat,pyrat,nnenum",ok,,2026-04-28T12:01:49+00:00
acasxu_2023,ACASXU_run2a_1_2_batch_2000.onnx+prop_1.vnnlib,hashemi_clipping,m=4000,4000,,,,UNSAT,21.7,116,1.0000,1000,,0.0010,,,unsat,"alpha_beta_crown,neuralsat,pyrat,nnenum",ok,,2026-04-28T12:02:11+00:00
acasxu_2023,ACASXU_run2a_1_3_batch_2000.onnx+prop_1.vnnlib,hashemi_clipping,m=4000,4000,,,,UNSAT,23.7,116,1.0000,1000,,0.0010,,,unsat,"alpha_beta_crown,neuralsat,pyrat,nnenum",ok,,2026-04-28T12:02:34+00:00
acasxu_2023,ACASXU_run2a_1_1_batch_2000.onnx+prop_1.vnnlib,hashemi_clipping,m=8000,8000,,,,UNSAT,72.2,116,1.0000,1000,,0.0010,,,unsat,"alpha_beta_crown,neuralsat,pyrat,nnenum",ok,,2026-04-28T12:03:47+00:00
acasxu_2023,ACASXU_run2a_1_2_batch_2000.onnx+prop_1.vnnlib,hashemi_clipping,m=8000,8000,,,,UNSAT,76.4,116,1.0000,1000,,0.0010,,,unsat,"alpha_beta_crown,neuralsat,pyrat,nnenum",ok,,2026-04-28T12:05:03+00:00
acasxu_2023,ACASXU_run2a_1_3_batch_2000.onnx+prop_1.vnnlib,hashemi_clipping,m=8000,8000,,,,UNSAT,90.6,116,1.0000,1000,,0.0010,,,unsat,"alpha_beta_crown,neuralsat,pyrat,nnenum",ok,,2026-04-28T12:06:34+00:00
acasxu_2023,ACASXU_run2a_1_1_batch_2000.onnx+prop_1.vnnlib,ours,tiny,,500,500,250,UNSAT,19.9,116,1.0000,,16.3114,0.0010,0.9960,"[1.2730834484100342, 1.7291462421417236, 1.5242578983306885, 1.2530648708343506, 1.6072971820831299, 1.309746265411377, 1.4128165245056152, 1.226327657699585, 1.186724066734314, 1.2041141986846924, 1.2324542999267578, 1.0614861249923706, 0.9241005778312683, 0.866868257522583, 0.9341187477111816, 0.8605819940567017, 0.8581029176712036, 0.856648325920105, 0.9447345733642578, 0.8494603037834167, 0.864730179309845, 0.857064425945282, 0.8751601576805115, 0.7466516494750977, 0.7574989199638367, 0.8314914703369141, 0.7467167973518372, 0.6585264205932617, 0.7500500082969666, 0.7642195820808411, 0.8107490539550781, 0.7354441285133362, 0.646611750125885, 0.6908279657363892, 0.7127646803855896, 0.590358555316925, 0.6217316389083862, 0.5524225234985352, 0.6001937389373779, 0.5553464293479919, 0.6367592215538025, 0.548814594745636, 0.5422272086143494, 0.5861948132514954, 0.5573968887329102, 0.5790063738822937, 0.5677862763404846, 0.6275734901428223, 0.5653747916221619, 0.6001403331756592, 0.5361300706863403, 0.5172023177146912, 0.4554084241390228, 0.44107958674430847, 0.5578515529632568, 0.4267980754375458, 0.40972402691841125, 0.4818328022956848, 0.43469002842903137, 0.5801294445991516, 0.5962775349617004, 0.562860906124115, 0.4714423716068268, 0.608135461807251, 0.4114317297935486, 0.4334885776042938, 0.5459374785423279, 0.5000274181365967, 0.4598226547241211, 0.4865724444389343, 0.49138689041137695, 0.3829660415649414, 0.4105481207370758, 0.4076139032840729, 0.4471573233604431, 0.4223179221153259, 0.3930074870586395, 0.45545971393585205, 0.36896824836730957, 0.4297008812427521, 0.3771170675754547, 0.3723500370979309, 0.44248729944229126, 0.3851543962955475, 0.42625051736831665, 0.427266001701355, 0.4017985463142395, 0.4059520661830902, 0.39082053303718567, 0.4602324962615967, 0.507468581199646, 0.5235854387283325, 0.38506537675857544, 0.3675210177898407, 0.41559866070747375, 0.4379120469093323, 0.36303335428237915, 0.3375816345214844, 0.43933483958244324, 0.36249417066574097, 0.40097352862358093, 0.44576287269592285, 0.37752199172973633, 0.39393746852874756, 0.36541932821273804, 0.3099881708621979, 0.3306976556777954, 0.4373622536659241, 0.3656308054924011, 0.41427069902420044, 0.4093763530254364, 0.4109043776988983, 0.4117041826248169, 0.40214160084724426, 0.3711085915565491, 0.36321550607681274, 0.39429187774658203, 0.34102869033813477, 0.3369452655315399, 0.3555639982223511, 0.33743003010749817, 0.3797861337661743, 0.27941185235977173, 0.2947767972946167, 0.3673194646835327, 0.3802465498447418, 0.3287152051925659, 0.3307284414768219, 0.3607361614704132, 0.35397857427597046, 0.35670197010040283, 0.30621179938316345, 0.3826638162136078, 0.3428749144077301, 0.3093560039997101, 0.32227641344070435, 0.3754752278327942, 0.39709416031837463, 0.32280266284942627, 0.2973468601703644, 0.28572937846183777, 0.35132262110710144, 0.2848524749279022, 0.3577803373336792, 0.324924111366272, 0.3738126754760742, 0.35232481360435486, 0.3202890157699585, 0.33077317476272583, 0.2913917601108551, 0.3080204427242279, 0.3367127478122711, 0.3408956527709961, 0.3611568510532379, 0.3445950448513031, 0.35876551270484924, 0.3505513072013855, 0.31665530800819397, 0.3141792118549347, 0.31885066628456116, 0.27436140179634094, 0.2710176110267639, 0.340873658657074, 0.3018791973590851, 0.3761005401611328, 0.3295736610889435, 0.3243759572505951, 0.28374743461608887, 0.3353632688522339, 0.34838372468948364, 0.3024241626262665, 0.2582126259803772, 0.3223936855792999, 0.3042510151863098, 0.4022204577922821, 0.3440757095813751, 0.2871655821800232, 0.29380396008491516, 0.2899521291255951, 0.3153086006641388, 0.3030858337879181, 0.26053494215011597, 0.2730807065963745, 0.27120500802993774, 0.28756242990493774, 0.27174457907676697, 0.26852408051490784, 0.2682422399520874, 0.305629163980484, 0.31072691082954407, 0.2895994186401367, 0.32516908645629883, 0.22188501060009003, 0.2639215886592865, 0.2763535678386688, 0.3275582790374756, 0.29495111107826233, 0.2949658930301666, 0.2561892569065094, 0.29505273699760437, 0.2977232336997986, 0.34651753306388855, 0.22405973076820374, 0.2496868371963501, 0.23334242403507233, 0.36505451798439026, 0.2929086685180664, 0.30339115858078003, 0.2653905153274536, 0.2542421221733093, 0.3295181691646576, 0.28530412912368774, 0.23464541137218475, 0.2868042290210724, 0.2890406548976898, 0.3203670382499695, 0.24674847722053528, 0.27650919556617737, 0.31193017959594727, 0.2654843330383301, 0.315477579832077, 0.23190395534038544, 0.26236018538475037, 0.2574155032634735, 0.25253963470458984, 0.2951475977897644, 0.22202926874160767, 0.2468370497226715, 0.2771628201007843, 0.26518046855926514, 0.2688717246055603, 0.2604227066040039, 0.26150253415107727, 0.24705255031585693, 0.251980721950531, 0.2624291777610779, 0.2588370442390442, 0.2504211962223053, 0.24730390310287476, 0.2550925612449646, 0.244515523314476, 0.2271885722875595, 0.23956522345542908, 0.23553939163684845, 0.2411159873008728, 0.2678389549255371, 0.30147987604141235, 0.2570250332355499, 0.28765976428985596, 0.22178886830806732, 0.22167369723320007, 0.23639747500419617, 0.236148402094841, 0.3115590810775757, 0.24866993725299835, 0.22060929238796234, 0.20623549818992615, 0.21833476424217224, 0.22442567348480225, 0.2350069284439087, 0.24387143552303314, 0.2540494203567505, 0.25953948497772217, 0.2726348638534546, 0.22789931297302246, 0.25234028697013855, 0.2110002338886261, 0.30151990056037903, 0.25186800956726074, 0.23414134979248047, 0.2537005841732025, 0.2548831105232239, 0.24849437177181244, 0.2592064440250397, 0.32224562764167786, 0.21797288954257965, 0.20415787398815155, 0.21105165779590607, 0.22996820509433746, 0.2487592250108719, 0.22342230379581451, 0.24000704288482666, 0.2226465344429016, 0.2211853414773941, 0.2352718710899353, 0.289388507604599, 0.21484065055847168, 0.23012171685695648, 0.19600814580917358, 0.21067191660404205, 0.25373145937919617, 0.2286396473646164, 0.23999647796154022, 0.22237147390842438, 0.23483195900917053, 0.22198891639709473, 0.20075969398021698, 0.2291557490825653, 0.24363255500793457, 0.24519123136997223, 0.2688823640346527, 0.2086443305015564, 0.2495289444923401, 0.2618691325187683, 0.24795594811439514, 0.23433910310268402, 0.22890283167362213, 0.1952613890171051, 0.19354890286922455, 0.23232196271419525, 0.3064579367637634, 0.22932025790214539, 0.20836810767650604, 0.2589798867702484, 0.2135716676712036, 0.19807733595371246, 0.25323566794395447, 0.2438664436340332, 0.20913095772266388, 0.25872060656547546, 0.2490837275981903, 0.20948278903961182, 0.23663419485092163, 0.2341821789741516, 0.23167547583580017, 0.21625889837741852, 0.21034608781337738, 0.20371106266975403, 0.21344169974327087, 0.1971369981765747, 0.1996387392282486, 0.20764140784740448, 0.22098544239997864, 0.19719403982162476, 0.22334535419940948, 0.2825494110584259, 0.20006683468818665, 0.21316474676132202, 0.196879044175148, 0.2557903230190277, 0.2013152539730072, 0.21917098760604858, 0.20740462839603424, 0.20536503195762634, 0.2596275210380554, 0.21038666367530823, 0.2239203006029129, 0.18637770414352417, 0.19593338668346405, 0.239013671875, 0.21367503702640533, 0.22935356199741364, 0.24816030263900757, 0.23187196254730225, 0.26503050327301025, 0.2047925591468811, 0.1975031942129135, 0.2122415006160736, 0.22199828922748566, 0.22039389610290527, 0.21068473160266876, 0.23894794285297394, 0.18754461407661438, 0.24052025377750397, 0.2527952492237091, 0.21213044226169586, 0.2224852442741394, 0.22331440448760986, 0.22696952521800995, 0.23667465150356293, 0.21220827102661133, 0.21928222477436066, 0.1903894543647766, 0.22871892154216766, 0.2596461772918701, 0.18624894320964813, 0.22501231729984283, 0.19710756838321686, 0.20783182978630066, 0.2114042490720749, 0.23936720192432404, 0.25969749689102173, 0.18573325872421265, 0.19777624309062958, 0.22417564690113068, 0.20411793887615204, 0.20305119454860687, 0.2103222906589508, 0.22165633738040924, 0.19121775031089783, 0.2184516042470932, 0.1940823346376419, 0.20222194492816925, 0.23898553848266602, 0.2258521467447281, 0.21063664555549622, 0.207009956240654, 0.2599465250968933, 0.20457765460014343, 0.19478493928909302, 0.17515307664871216, 0.2100343406200409, 0.21100731194019318, 0.21292532980442047, 0.19294947385787964, 0.19706924259662628, 0.2056291401386261, 0.19435161352157593, 0.19383415579795837, 0.22244293987751007, 0.2177196741104126, 0.24905969202518463, 0.19259414076805115, 0.21335087716579437, 0.17472857236862183, 0.19101928174495697, 0.21517826616764069, 0.18283477425575256, 0.2268277257680893, 0.23212675750255585, 0.19262385368347168, 0.183203786611557, 0.23042450845241547, 0.21397285163402557, 0.19339820742607117, 0.21829167008399963, 0.22070109844207764, 0.19608978927135468, 0.20416024327278137, 0.171434685587883, 0.18075409531593323, 0.22810719907283783, 0.20266301929950714, 0.20663383603096008, 0.21709579229354858, 0.24006876349449158, 0.18114100396633148, 0.18885543942451477, 0.17534494400024414, 0.22819916903972626, 0.19109252095222473, 0.18952354788780212, 0.22390858829021454, 0.19736824929714203, 0.19041681289672852, 0.17092299461364746, 0.21233603358268738, 0.20081675052642822, 0.23444189131259918, 0.23220936954021454, 0.2340051233768463, 0.23242494463920593, 0.2300451546907425, 0.1966884285211563, 0.18680298328399658, 0.20636288821697235, 0.23185749351978302, 0.21520550549030304, 0.24567396938800812, 0.20701248943805695, 0.21394868195056915, 0.23865941166877747, 0.18412616848945618, 0.1893918514251709, 0.20062458515167236, 0.20084203779697418, 0.19548238813877106, 0.2142251431941986, 0.16508358716964722, 0.2444644421339035, 0.21257445216178894, 0.20394977927207947, 0.2381644994020462, 0.23415780067443848, 0.1854896992444992, 0.1711597740650177, 0.20771323144435883, 0.19059602916240692, 0.19350187480449677, 0.25313201546669006, 0.19360999763011932, 0.1976601630449295, 0.17268939316272736, 0.20193463563919067, 0.19387498497962952, 0.2195485234260559, 0.2037508189678192, 0.26140516996383667, 0.2189517766237259, 0.19142310321331024, 0.2131655514240265, 0.22197416424751282, 0.23435145616531372, 0.21814432740211487, 0.185835599899292, 0.24144357442855835, 0.2271856665611267, 0.2051289975643158, 0.21924105286598206, 0.20603549480438232]",unsat,"alpha_beta_crown,neuralsat,pyrat,nnenum",ok,,2026-04-28T12:06:53+00:00
acasxu_2023,ACASXU_run2a_1_2_batch_2000.onnx+prop_1.vnnlib,ours,tiny,,500,500,250,UNSAT,16.2,116,1.0000,,13.4183,0.0010,0.9960,"[4.08097505569458, 3.3843140602111816, 3.9319252967834473, 3.2391440868377686, 3.1427059173583984, 2.721977710723877, 2.629131555557251, 2.3092129230499268, 2.321751594543457, 2.5738558769226074, 1.998997449874878, 1.8687366247177124, 1.953389048576355, 1.8299286365509033, 1.9328179359436035, 1.7092843055725098, 1.709846019744873, 1.8823339939117432, 1.6663347482681274, 1.741348385810852, 1.7407281398773193, 1.817674160003662, 1.6113002300262451, 1.5292885303497314, 1.2909995317459106, 1.5056145191192627, 1.5703189373016357, 1.5667957067489624, 1.3275762796401978, 1.5366178750991821, 1.3466887474060059, 1.4863675832748413, 1.2567095756530762, 1.3349987268447876, 1.3332693576812744, 1.3780921697616577, 1.1581757068634033, 1.2896653413772583, 1.2881643772125244, 1.2564512491226196, 1.1683470010757446, 1.2558085918426514, 1.335190773010254, 1.1578105688095093, 1.208271861076355, 1.2098040580749512, 1.1638624668121338, 1.2546286582946777, 1.2143672704696655, 1.3138655424118042, 1.4221776723861694, 1.0518159866333008, 1.1018368005752563, 1.265760898590088, 0.9752468466758728, 1.2028367519378662, 1.1386780738830566, 1.064918041229248, 1.167034387588501, 1.1609292030334473, 0.863539457321167, 1.1506938934326172, 0.921417772769928, 0.9992989897727966, 1.065407156944275, 0.855066180229187, 0.8777858018875122, 0.9455336928367615, 1.0410436391830444, 1.0397765636444092, 0.8862647414207458, 0.7574434280395508, 0.9327160120010376, 0.8696444034576416, 0.750991702079773, 0.8283219337463379, 0.9128609299659729, 0.8601634502410889, 0.9806240200996399, 0.8883710503578186, 0.7685406804084778, 0.7271616458892822, 0.7784828543663025, 0.7728611826896667, 0.7551862597465515, 0.6958280205726624, 0.8052408695220947, 0.8142786622047424, 0.8522222638130188, 0.7732977271080017, 0.7978349924087524, 0.7663956880569458, 0.8937993049621582, 0.7291936278343201, 0.6940162777900696, 0.6958405375480652, 0.742716372013092, 0.6636799573898315, 0.7784526944160461, 0.7569686770439148, 0.9156584739685059, 0.675537645816803, 0.658186137676239, 0.7218416333198547, 0.6706418991088867, 0.6365095376968384, 0.6244632601737976, 0.7563331127166748, 0.6157858967781067, 0.7836418747901917, 0.568048357963562, 0.6479030251502991, 0.5562148690223694, 0.4917166829109192, 0.7170407176017761, 0.6182570457458496, 0.544905960559845, 0.5510541796684265, 0.5413087606430054, 0.6133883595466614, 0.5441478490829468, 0.5402273535728455, 0.5350285768508911, 0.48451903462409973, 0.47946733236312866, 0.6187976598739624, 0.6850537061691284, 0.5742753744125366, 0.6124616265296936, 0.4906647205352783, 0.49499985575675964, 0.47219347953796387, 0.42895495891571045, 0.4590684473514557, 0.4590552747249603, 0.538384199142456, 0.42839568853378296, 0.41147783398628235, 0.40692874789237976, 0.40902578830718994, 0.443973183631897, 0.4809023439884186, 0.5062445998191833, 0.4623534679412842, 0.5110877156257629, 0.5102002620697021, 0.35516878962516785, 0.4322621822357178, 0.4465230405330658, 0.37535154819488525, 0.43270808458328247, 0.4800199568271637, 0.44159191846847534, 0.43986761569976807, 0.3673723638057709, 0.3661753237247467, 0.4140009582042694, 0.41571345925331116, 0.4407978355884552, 0.42141884565353394, 0.4452560842037201, 0.4178638160228729, 0.4346906542778015, 0.4291069209575653, 0.46344929933547974, 0.36524584889411926, 0.36991533637046814, 0.41390788555145264, 0.44394955039024353, 0.362822949886322, 0.35808637738227844, 0.46724799275398254, 0.3710605800151825, 0.4271670877933502, 0.3948853313922882, 0.4705437421798706, 0.36399778723716736, 0.4286862313747406, 0.40759751200675964, 0.4195502698421478, 0.3561544418334961, 0.32396483421325684, 0.3955875039100647, 0.39229217171669006, 0.3202964663505554, 0.35893556475639343, 0.3739258348941803, 0.4125290811061859, 0.40385007858276367, 0.4062620997428894, 0.3715466260910034, 0.33929443359375, 0.34737148880958557, 0.3641440272331238, 0.3377055823802948, 0.37090709805488586, 0.26611366868019104, 0.40258997678756714, 0.33801957964897156, 0.3847159743309021, 0.3489992022514343, 0.4413362145423889, 0.4183781147003174, 0.43520471453666687, 0.37288013100624084, 0.36837777495384216, 0.33962273597717285, 0.3471766412258148, 0.32363414764404297, 0.41903066635131836, 0.3464563488960266, 0.3263821601867676, 0.3463590145111084, 0.3402886688709259, 0.34367871284484863, 0.3706216812133789, 0.34680095314979553, 0.3640320599079132, 0.2918494641780853, 0.4091852307319641, 0.3474373519420624, 0.41816189885139465, 0.3220216631889343, 0.32229942083358765, 0.34018754959106445, 0.39678674936294556, 0.33828720450401306, 0.3204696476459503, 0.3892431855201721, 0.35621845722198486, 0.3379455506801605, 0.3256934881210327, 0.36495453119277954, 0.36137616634368896, 0.3203601837158203, 0.3965938985347748, 0.36420249938964844, 0.32336708903312683, 0.2940487563610077, 0.3400862216949463, 0.35281816124916077, 0.3259586989879608, 0.5441578030586243, 0.31729623675346375, 0.3466237783432007, 0.29017987847328186, 0.3354857265949249, 0.32428717613220215, 0.3245435357093811, 0.3261910676956177, 0.28354519605636597, 0.3063707947731018, 0.3443235158920288, 0.30577656626701355, 0.2733434736728668, 0.3356154263019562, 0.36014002561569214, 0.3999645411968231, 0.27222949266433716, 0.360823392868042, 0.3685103952884674, 0.31611037254333496, 0.3275008797645569, 0.36994868516921997, 0.3335675895214081, 0.3063889145851135, 0.5783704519271851, 0.322439968585968, 0.2994806170463562, 0.3519962430000305, 0.36840444803237915, 0.2882040739059448, 0.3025106191635132, 0.3222425580024719, 0.3225741982460022, 0.3113556206226349, 0.35298952460289, 0.2716226875782013, 0.288426011800766, 0.30895164608955383, 0.2814757227897644, 0.2526393532752991, 0.30676987767219543, 0.2825937569141388, 0.30819764733314514, 0.2877426743507385, 0.37247905135154724, 0.3132309317588806, 0.3486817181110382, 0.3589269518852234, 0.36107394099235535, 0.3128151595592499, 0.30498000979423523, 0.35173025727272034, 0.3607930839061737, 0.3188588619232178, 0.2888505160808563, 0.3283991515636444, 0.3166346549987793, 0.2948531210422516, 0.3274762034416199, 0.3112952411174774, 0.3000713288784027, 0.32059603929519653, 0.34484222531318665, 0.3070542812347412, 0.28689295053482056, 0.2803117036819458, 0.2935294210910797, 0.3324643075466156, 0.40060004591941833, 0.35362139344215393, 0.269105464220047, 0.2979656457901001, 0.33254432678222656, 0.3444817364215851, 0.35504695773124695, 0.24480345845222473, 0.34440144896507263, 0.34242141246795654, 0.2880318760871887, 0.29958054423332214, 0.33722472190856934, 0.2836897373199463, 0.35587427020072937, 0.260957270860672, 0.28487128019332886, 0.31824618577957153, 0.2952517569065094, 0.2791300117969513, 0.34593290090560913, 0.30796191096305847, 0.2871358096599579, 0.35603415966033936, 0.31296074390411377, 0.2767585515975952, 0.28932759165763855, 0.36516615748405457, 0.2974480092525482, 0.3161989152431488, 0.3150126039981842, 0.29659324884414673, 0.28196802735328674, 0.25106045603752136, 0.2737879455089569, 0.3433363139629364, 0.2787719666957855, 0.28982314467430115, 0.31342118978500366, 0.32449227571487427, 0.2751339375972748, 0.3325771987438202, 0.2785152792930603, 0.31634625792503357, 0.3226534128189087, 0.2883972227573395, 0.286089688539505, 0.3294107913970947, 0.3061411678791046, 0.31878331303596497, 0.29468095302581787, 0.3631349802017212, 0.35337188839912415, 0.27290672063827515, 0.30402177572250366, 0.3761008083820343, 0.30414554476737976, 0.3660721182823181, 0.26225438714027405, 0.2552662491798401, 0.2809838652610779, 0.28475990891456604, 0.272283673286438, 0.26473259925842285, 0.24938617646694183, 0.3328454792499542, 0.3157523274421692, 0.2949244976043701, 0.32461118698120117, 0.2975449562072754, 0.3038513958454132, 0.27463823556900024, 0.2921909987926483, 0.26770806312561035, 0.31172415614128113, 0.3341272473335266, 0.3015543520450592, 0.26401907205581665, 0.27209892868995667, 0.28010159730911255, 0.28415805101394653, 0.26851698756217957, 0.40749433636665344, 0.2586963474750519, 0.34608855843544006, 0.2908514738082886, 0.27948206663131714, 0.2972458302974701, 0.3047134578227997, 0.2793053686618805, 0.33609095215797424, 0.3194473683834076, 0.2802887260913849, 0.31052425503730774, 0.27887704968452454, 0.28704139590263367, 0.27910271286964417, 0.31441372632980347, 0.25367221236228943, 0.3201708495616913, 0.33141976594924927, 0.2633589208126068, 0.29513558745384216, 0.34468191862106323, 0.3107137680053711, 0.24327179789543152, 0.2842230796813965, 0.27638372778892517, 0.2714758813381195, 0.30936676263809204, 0.3408708870410919, 0.3072926700115204, 0.2902982532978058, 0.29246726632118225, 0.3266531229019165, 0.30566316843032837, 0.28581568598747253, 0.27776214480400085, 0.289376825094223, 0.30070826411247253, 0.3214951157569885, 0.26089802384376526, 0.24573266506195068, 0.32338976860046387, 0.3063645362854004, 0.273192822933197, 0.287887841463089, 0.3250381648540497, 0.33767226338386536, 0.2964969873428345, 0.25927644968032837, 0.39275190234184265, 0.38838520646095276, 0.3390125036239624, 0.34410911798477173, 0.3011840581893921, 0.31051746010780334, 0.26722583174705505, 0.2976791560649872, 0.3017730116844177, 0.2722630798816681, 0.28165149688720703, 0.2531947195529938, 0.3223617970943451, 0.34886419773101807, 0.26051032543182373, 0.2919255197048187, 0.28107258677482605, 0.29230189323425293, 0.32501527667045593, 0.2966393828392029, 0.28459447622299194, 0.233583465218544, 0.29121753573417664, 0.2860203683376312, 0.2740713059902191, 0.30399587750434875, 0.284768283367157, 0.24199920892715454, 0.2560867965221405, 0.32872092723846436, 0.31155428290367126, 0.26715222001075745, 0.2320769727230072, 0.2951342463493347, 0.33394455909729004, 0.268374502658844, 0.2366432100534439, 0.3150046765804291, 0.3035081923007965, 0.268803209066391, 0.29189008474349976, 0.2970617115497589, 0.34610694646835327, 0.3147216737270355, 0.28681665658950806, 0.323824942111969, 0.3319190740585327, 0.3259982466697693, 0.31855320930480957, 0.30246806144714355, 0.27107593417167664, 0.33747366070747375, 0.2900085747241974, 0.3144555687904358, 0.32715052366256714, 0.3216027617454529, 0.30106687545776367, 0.2929042875766754, 0.31572532653808594]",unsat,"alpha_beta_crown,neuralsat,pyrat,nnenum",ok,,2026-04-28T12:07:10+00:00
