benchmark,instance,method,hp_name,m,n_train,flow_epochs,scenario_n_samples,verdict,wall_s,vnncomp_timeout_s,coverage_empirical,coverage_n_test,q,epsilon_total,delta_total,error,timestamp
yolo_2023,patch-1.onnx+spec_onnx_patch-1_idx_16972_2.vnnlib,hashemi_clipping,m=500,500,,,,UNSAT,17.6,350,0.9920,1000,,0.0010,,,2026-04-28T07:31:27+00:00
yolo_2023,patch-3.onnx+spec_onnx_patch-3_idx_05840_0.vnnlib,hashemi_clipping,m=500,500,,,,UNSAT,17.3,350,0.9900,1000,,0.0010,,,2026-04-28T07:31:45+00:00
yolo_2023,patch-1.onnx+spec_onnx_patch-1_idx_00559_0.vnnlib,hashemi_clipping,m=2000,2000,,,,UNSAT,43.8,350,1.0000,1000,,0.0010,,,2026-04-28T07:32:28+00:00
yolo_2023,patch-1.onnx+spec_onnx_patch-1_idx_16972_2.vnnlib,hashemi_clipping,m=2000,2000,,,,UNSAT,43.8,350,1.0000,1000,,0.0010,,,2026-04-28T07:33:12+00:00
yolo_2023,patch-3.onnx+spec_onnx_patch-3_idx_05840_0.vnnlib,hashemi_clipping,m=2000,2000,,,,SAT,42.7,350,0.9990,1000,,0.0010,,,2026-04-28T07:33:55+00:00
yolo_2023,patch-1.onnx+spec_onnx_patch-1_idx_00559_0.vnnlib,hashemi_clipping,m=8000,8000,,,,UNSAT,176.3,350,1.0000,1000,,0.0010,,,2026-04-28T07:36:51+00:00
yolo_2023,patch-1.onnx+spec_onnx_patch-1_idx_16972_2.vnnlib,hashemi_clipping,m=8000,8000,,,,UNKNOWN,175.7,350,1.0000,1000,,0.0010,,,2026-04-28T07:39:47+00:00
yolo_2023,patch-3.onnx+spec_onnx_patch-3_idx_05840_0.vnnlib,hashemi_clipping,m=8000,8000,,,,UNKNOWN,169.6,350,1.0000,1000,,0.0010,,,2026-04-28T07:42:37+00:00
yolo_2023,patch-1.onnx+spec_onnx_patch-1_idx_00559_0.vnnlib,ours,small,,1000,1000,500,UNSAT,113.1,350,1.0000,,12.4725,0.0010,0.9960,,2026-04-28T07:44:30+00:00
yolo_2023,patch-1.onnx+spec_onnx_patch-1_idx_16972_2.vnnlib,ours,small,,1000,1000,500,UNKNOWN,110.2,350,1.0000,,19.6886,0.0010,0.9960,,2026-04-28T07:46:20+00:00
yolo_2023,patch-3.onnx+spec_onnx_patch-3_idx_05840_0.vnnlib,ours,small,,1000,1000,500,UNSAT,105.9,350,1.0000,,43.8043,0.0010,0.9960,,2026-04-28T07:48:06+00:00
yolo_2023,patch-1.onnx+spec_onnx_patch-1_idx_00559_0.vnnlib,ours,medium,,2000,2000,1000,UNSAT,125.2,350,1.0000,,10.0972,0.0010,0.9960,,2026-04-28T07:50:11+00:00
yolo_2023,patch-1.onnx+spec_onnx_patch-1_idx_16972_2.vnnlib,ours,medium,,2000,2000,1000,UNKNOWN,120.4,350,1.0000,,20.8729,0.0010,0.9960,,2026-04-28T07:52:11+00:00
yolo_2023,patch-3.onnx+spec_onnx_patch-3_idx_05840_0.vnnlib,ours,medium,,2000,2000,1000,UNSAT,119.8,350,1.0000,,14.1851,0.0010,0.9960,,2026-04-28T07:54:11+00:00
yolo_2023,patch-1.onnx+spec_onnx_patch-1_idx_00559_0.vnnlib,ours,full,,5000,2000,2000,UNSAT,163.4,350,1.0000,,10.2530,0.0010,0.9960,,2026-04-28T07:56:55+00:00
