benchmark,instance,method,hp_name,m,n_train,flow_epochs,scenario_n_samples,verdict,wall_s,vnncomp_timeout_s,coverage_empirical,coverage_n_test,q,epsilon_total,delta_total,error,timestamp
dist_shift_2023,mnist_concat.onnx+index7901_delta0.13.vnnlib,hashemi_clipping,m=8000,8000,,,,UNSAT,145.1,300,1.0000,1000,,0.0010,,,2026-04-28T06:59:02+00:00
dist_shift_2023,mnist_concat.onnx+index6323_delta0.13.vnnlib,hashemi_clipping,m=8000,8000,,,,UNSAT,142.6,300,0.9990,1000,,0.0010,,,2026-04-28T07:01:25+00:00
dist_shift_2023,mnist_concat.onnx+index7027_delta0.13.vnnlib,hashemi_clipping,m=8000,8000,,,,UNSAT,128.4,300,1.0000,1000,,0.0010,,,2026-04-28T07:03:33+00:00
dist_shift_2023,mnist_concat.onnx+index7901_delta0.13.vnnlib,ours,small,,1000,1000,500,UNSAT,16.3,300,1.0000,,6.6539,0.0010,0.9960,,2026-04-28T07:03:49+00:00
dist_shift_2023,mnist_concat.onnx+index6323_delta0.13.vnnlib,ours,small,,1000,1000,500,UNSAT,15.9,300,1.0000,,6.2483,0.0010,0.9960,,2026-04-28T07:04:05+00:00
dist_shift_2023,mnist_concat.onnx+index7027_delta0.13.vnnlib,ours,small,,1000,1000,500,UNKNOWN,8.0,300,1.0000,,7.1710,0.0010,0.9960,,2026-04-28T07:04:13+00:00
dist_shift_2023,mnist_concat.onnx+index7901_delta0.13.vnnlib,ours,medium,,2000,2000,1000,UNSAT,26.1,300,1.0000,,4.7966,0.0010,0.9960,,2026-04-28T07:04:39+00:00
dist_shift_2023,mnist_concat.onnx+index6323_delta0.13.vnnlib,ours,medium,,2000,2000,1000,UNSAT,25.1,300,1.0000,,4.5304,0.0010,0.9960,,2026-04-28T07:05:05+00:00
dist_shift_2023,mnist_concat.onnx+index7027_delta0.13.vnnlib,ours,medium,,2000,2000,1000,UNKNOWN,23.0,300,1.0000,,4.8786,0.0010,0.9960,,2026-04-28T07:05:28+00:00
dist_shift_2023,mnist_concat.onnx+index7901_delta0.13.vnnlib,ours,full,,5000,2000,2000,UNSAT,43.1,300,1.0000,,4.7734,0.0010,0.9960,,2026-04-28T07:06:11+00:00
dist_shift_2023,mnist_concat.onnx+index6323_delta0.13.vnnlib,ours,full,,5000,2000,2000,UNSAT,39.4,300,0.9995,,4.2840,0.0010,0.9960,,2026-04-28T07:06:50+00:00
