instance_idx,box_idx,onnx_file,vnnlib_file,ground_truth,method,verdict,q,coverage,epsilon_total,amls_bounded_eps_2_upper,flow_train_s,verify_s,wall_s,error,timestamp
29,0,ACASXU_run2a_1_3_batch_2000.onnx,prop_4.vnnlib,unsat,scenario,UNSAT,3.759120,0.9985,1.3450e-03,,30.5,0.3,30.8,,2026-05-06T19:24:40.177513+00:00
30,0,ACASXU_run2a_4_6_batch_2000.onnx,prop_3.vnnlib,unsat,scenario,UNSAT,20.269079,1.0000,1.3450e-03,,30.7,0.3,31.0,,2026-05-06T19:25:41.549632+00:00
31,0,ACASXU_run2a_1_4_batch_2000.onnx,prop_1.vnnlib,unsat,scenario,UNSAT,8.996649,1.0000,4.4504e-03,,29.5,0.1,29.6,,2026-05-06T19:26:41.439064+00:00
32,0,ACASXU_run2a_2_7_batch_2000.onnx,prop_1.vnnlib,unsat,scenario,UNSAT,28.999592,0.9990,4.4504e-03,,29.7,0.1,29.8,,2026-05-06T19:27:41.529215+00:00
33,0,ACASXU_run2a_1_7_batch_2000.onnx,prop_2.vnnlib,unsat,scenario,UNSAT,4.628134,1.0000,1.3450e-03,,29.5,0.3,29.7,,2026-05-06T19:28:33.975540+00:00
34,0,ACASXU_run2a_1_7_batch_2000.onnx,prop_3.vnnlib,sat,scenario,UNKNOWN,4.532929,0.9995,4.4504e-03,,25.8,0.1,25.9,,2026-05-06T19:29:22.659684+00:00
35,0,ACASXU_run2a_3_4_batch_2000.onnx,prop_4.vnnlib,unsat,scenario,UNSAT,4.441386,0.9995,1.3450e-03,,28.4,0.3,28.7,,2026-05-06T19:29:51.536296+00:00
36,0,ACASXU_run2a_1_6_batch_2000.onnx,prop_4.vnnlib,unsat,scenario,UNSAT,3.512717,0.9990,1.3450e-03,,29.9,0.3,30.1,,2026-05-06T19:30:44.354254+00:00
37,0,ACASXU_run2a_1_5_batch_2000.onnx,prop_2.vnnlib,sat,scenario,UNSAT,8.452727,0.9995,1.3450e-03,,29.7,0.3,30.0,,2026-05-06T19:31:37.021758+00:00
38,0,ACASXU_run2a_1_1_batch_2000.onnx,prop_6.vnnlib,unsat,scenario,UNSAT,124.523956,1.0000,2.3802e-03,,29.2,1.0,30.2,,2026-05-06T19:32:17.586325+00:00
38,1,ACASXU_run2a_1_1_batch_2000.onnx,prop_6.vnnlib,unsat,scenario,UNSAT,20.750517,1.0000,2.3802e-03,,28.9,1.0,30.0,,2026-05-06T19:34:18.308439+00:00
39,0,ACASXU_run2a_2_6_batch_2000.onnx,prop_2.vnnlib,sat,scenario,UNKNOWN,5.243239,0.9985,4.4504e-03,,28.4,0.1,28.5,,2026-05-06T19:36:17.522631+00:00
40,0,ACASXU_run2a_1_1_batch_2000.onnx,prop_4.vnnlib,unsat,scenario,UNSAT,3.893145,1.0000,1.3450e-03,,28.4,0.3,28.7,,2026-05-06T19:36:46.451396+00:00
41,0,ACASXU_run2a_5_1_batch_2000.onnx,prop_1.vnnlib,unsat,scenario,UNSAT,6.039131,0.9995,4.4504e-03,,29.1,0.1,29.2,,2026-05-06T19:37:38.255848+00:00
42,0,ACASXU_run2a_4_3_batch_2000.onnx,prop_1.vnnlib,unsat,scenario,UNSAT,12.087645,1.0000,4.4504e-03,,28.9,0.1,29.0,,2026-05-06T19:38:29.884553+00:00
43,0,ACASXU_run2a_5_2_batch_2000.onnx,prop_2.vnnlib,sat,scenario,UNKNOWN,8.088700,1.0000,4.4504e-03,,29.9,0.1,30.0,,2026-05-06T19:39:22.823231+00:00
44,0,ACASXU_run2a_5_9_batch_2000.onnx,prop_3.vnnlib,unsat,scenario,UNSAT,5.446670,0.9995,1.3450e-03,,26.1,0.3,26.4,,2026-05-06T19:39:49.409696+00:00
45,0,ACASXU_run2a_1_5_batch_2000.onnx,prop_3.vnnlib,unsat,scenario,UNSAT,4.391994,1.0000,1.3450e-03,,28.9,0.3,29.2,,2026-05-06T19:40:47.288220+00:00
