instance_idx,box_idx,onnx_file,vnnlib_file,ground_truth,method,verdict,q,coverage,epsilon_total,amls_bounded_eps_2_upper,flow_train_s,verify_s,wall_s,error,timestamp
29,0,ACASXU_run2a_1_3_batch_2000.onnx,prop_4.vnnlib,unsat,is_tilted,UNSAT,3.759120,0.9985,1.0000e-03,,30.5,0.1,30.6,,2026-05-06T19:25:10.449729+00:00
30,0,ACASXU_run2a_4_6_batch_2000.onnx,prop_3.vnnlib,unsat,is_tilted,UNSAT,20.269079,1.0000,1.0000e-03,,30.7,0.1,30.8,,2026-05-06T19:26:11.761642+00:00
31,0,ACASXU_run2a_1_4_batch_2000.onnx,prop_1.vnnlib,unsat,is_tilted,UNSAT,8.996649,1.0000,1.0000e-03,,29.5,0.1,29.6,,2026-05-06T19:27:11.633883+00:00
32,0,ACASXU_run2a_2_7_batch_2000.onnx,prop_1.vnnlib,unsat,is_tilted,UNSAT,28.999592,0.9990,1.0000e-03,,29.7,0.1,29.8,,2026-05-06T19:28:04.185676+00:00
33,0,ACASXU_run2a_1_7_batch_2000.onnx,prop_2.vnnlib,unsat,is_tilted,UNSAT,4.628134,1.0000,1.0000e-03,,29.5,0.1,29.6,,2026-05-06T19:28:56.667057+00:00
34,0,ACASXU_run2a_1_7_batch_2000.onnx,prop_3.vnnlib,sat,is_tilted,UNKNOWN,4.532929,0.9995,1.0000e-03,,25.8,0.1,25.9,,2026-05-06T19:29:22.837235+00:00
35,0,ACASXU_run2a_3_4_batch_2000.onnx,prop_4.vnnlib,unsat,is_tilted,UNSAT,4.441386,0.9995,1.0000e-03,,28.4,0.1,28.5,,2026-05-06T19:30:14.184781+00:00
36,0,ACASXU_run2a_1_6_batch_2000.onnx,prop_4.vnnlib,unsat,is_tilted,UNSAT,3.512717,0.9990,1.0000e-03,,29.9,0.1,30.0,,2026-05-06T19:31:07.012537+00:00
37,0,ACASXU_run2a_1_5_batch_2000.onnx,prop_2.vnnlib,sat,is_tilted,UNSAT,8.452727,0.9995,1.0000e-03,,29.7,0.1,29.8,,2026-05-06T19:31:47.304905+00:00
38,0,ACASXU_run2a_1_1_batch_2000.onnx,prop_6.vnnlib,unsat,is_tilted,UNSAT,124.523956,1.0000,1.0000e-03,,29.2,0.4,29.6,,2026-05-06T19:33:48.307272+00:00
38,1,ACASXU_run2a_1_1_batch_2000.onnx,prop_6.vnnlib,unsat,is_tilted,UNSAT,20.750517,1.0000,1.0000e-03,,28.9,0.4,29.3,,2026-05-06T19:35:48.948377+00:00
39,0,ACASXU_run2a_2_6_batch_2000.onnx,prop_2.vnnlib,sat,is_tilted,UNKNOWN,5.243239,0.9985,1.0000e-03,,28.4,0.1,28.5,,2026-05-06T19:36:17.697584+00:00
40,0,ACASXU_run2a_1_1_batch_2000.onnx,prop_4.vnnlib,unsat,is_tilted,UNSAT,3.893145,1.0000,1.0000e-03,,28.4,0.1,28.5,,2026-05-06T19:37:08.989597+00:00
41,0,ACASXU_run2a_5_1_batch_2000.onnx,prop_1.vnnlib,unsat,is_tilted,UNSAT,6.039131,0.9995,1.0000e-03,,29.1,0.1,29.2,,2026-05-06T19:38:00.823048+00:00
42,0,ACASXU_run2a_4_3_batch_2000.onnx,prop_1.vnnlib,unsat,is_tilted,UNSAT,12.087645,1.0000,1.0000e-03,,28.9,0.1,29.1,,2026-05-06T19:38:52.746088+00:00
43,0,ACASXU_run2a_5_2_batch_2000.onnx,prop_2.vnnlib,sat,is_tilted,UNKNOWN,8.088700,1.0000,1.0000e-03,,29.9,0.1,30.0,,2026-05-06T19:39:23.003952+00:00
44,0,ACASXU_run2a_5_9_batch_2000.onnx,prop_3.vnnlib,unsat,is_tilted,UNSAT,5.446670,0.9995,1.0000e-03,,26.1,0.1,26.2,,2026-05-06T19:40:18.004843+00:00
45,0,ACASXU_run2a_1_5_batch_2000.onnx,prop_3.vnnlib,unsat,is_tilted,UNSAT,4.391994,1.0000,1.0000e-03,,28.9,0.1,29.0,,2026-05-06T19:41:10.417913+00:00
46,0,ACASXU_run2a_4_4_batch_2000.onnx,prop_2.vnnlib,sat,is_tilted,UNKNOWN,22.346094,1.0000,1.0000e-03,,28.7,0.1,28.8,,2026-05-06T19:41:39.421481+00:00
47,0,ACASXU_run2a_2_9_batch_2000.onnx,prop_8.vnnlib,sat,is_tilted,UNKNOWN,6.859711,0.9990,1.0000e-03,,28.7,0.4,29.1,,2026-05-06T19:43:00.745760+00:00
48,0,ACASXU_run2a_1_3_batch_2000.onnx,prop_2.vnnlib,sat,is_tilted,UNSAT,7.212758,1.0000,1.0000e-03,,29.6,0.1,29.7,,2026-05-06T19:44:00.482481+00:00
49,0,ACASXU_run2a_2_3_batch_2000.onnx,prop_1.vnnlib,unsat,is_tilted,UNSAT,8.141217,1.0000,1.0000e-03,,29.4,0.1,29.6,,2026-05-06T19:44:53.632652+00:00
