instance_idx,box_idx,onnx_file,vnnlib_file,ground_truth,method,verdict,q,coverage,epsilon_total,amls_bounded_eps_2_upper,flow_train_s,verify_s,wall_s,error,timestamp
23,0,ACASXU_run2a_4_4_batch_2000.onnx,prop_4.vnnlib,unsat,amls_bounded,UNSAT,3.871942,0.9985,1.0000e-03,3.1125e-30,29.8,15.1,44.9,,2026-05-06T19:19:45.748956+00:00
24,0,ACASXU_run2a_4_8_batch_2000.onnx,prop_3.vnnlib,unsat,amls_bounded,UNSAT,4.262940,1.0000,1.0000e-03,3.1125e-30,27.8,15.0,42.9,,2026-05-06T19:20:44.102407+00:00
25,0,ACASXU_run2a_1_9_batch_2000.onnx,prop_2.vnnlib,unsat,amls_bounded,UNSAT,7.186540,1.0000,1.0000e-03,3.1125e-30,29.8,15.1,45.0,,2026-05-06T19:21:40.911924+00:00
26,0,ACASXU_run2a_4_7_batch_2000.onnx,prop_2.vnnlib,sat,amls_bounded,UNKNOWN,9.251959,1.0000,4.0486e-02,3.9526e-02,30.1,0.0,30.1,,2026-05-06T19:22:11.323697+00:00
27,0,ACASXU_run2a_5_8_batch_2000.onnx,prop_1.vnnlib,unsat,amls_bounded,UNSAT,16.933874,1.0000,1.0000e-03,3.1125e-30,29.1,15.1,44.2,,2026-05-06T19:23:10.857899+00:00
28,0,ACASXU_run2a_4_1_batch_2000.onnx,prop_3.vnnlib,unsat,amls_bounded,UNSAT,5.698996,1.0000,1.0000e-03,3.1125e-30,28.9,15.1,44.0,,2026-05-06T19:24:09.245555+00:00
29,0,ACASXU_run2a_1_3_batch_2000.onnx,prop_4.vnnlib,unsat,amls_bounded,UNSAT,3.759120,0.9985,1.0000e-03,3.1125e-30,30.5,15.1,45.6,,2026-05-06T19:25:10.334570+00:00
30,0,ACASXU_run2a_4_6_batch_2000.onnx,prop_3.vnnlib,unsat,amls_bounded,UNSAT,20.269079,1.0000,1.0000e-03,3.1125e-30,30.7,15.0,45.8,,2026-05-06T19:26:11.651287+00:00
31,0,ACASXU_run2a_1_4_batch_2000.onnx,prop_1.vnnlib,unsat,amls_bounded,UNSAT,8.996649,1.0000,1.0000e-03,3.1125e-30,29.5,15.0,44.6,,2026-05-06T19:27:11.524049+00:00
32,0,ACASXU_run2a_2_7_batch_2000.onnx,prop_1.vnnlib,unsat,amls_bounded,UNSAT,28.999592,0.9990,1.0000e-03,3.1125e-30,29.7,11.3,41.0,,2026-05-06T19:28:04.086651+00:00
33,0,ACASXU_run2a_1_7_batch_2000.onnx,prop_2.vnnlib,unsat,amls_bounded,UNSAT,4.628134,1.0000,1.0000e-03,3.1125e-30,29.5,11.3,40.8,,2026-05-06T19:28:56.561966+00:00
34,0,ACASXU_run2a_1_7_batch_2000.onnx,prop_3.vnnlib,sat,amls_bounded,UNKNOWN,4.532929,0.9995,1.0000e+00,1.0000e+00,25.8,0.0,25.9,,2026-05-06T19:29:22.738991+00:00
